,name,id_prod_company,id
472,Rysher Entertainment,11661,31611
473,United Artists,60,65796
474,Paramount Pictures,4,49805
475,Twentieth Century Fox Film Corporation,306,26258
476,Canal+,5358,50797
477,Studio Trite,6453,50797
478,Caméra One,6454,50797
479,PolyGram Audiovisuel,6367,19155
480,British Screen Productions,12745,19155
481,Detour Film Production,98,76
482,Warner Bros.,6194,76
483,Jack Giarraputo Productions,6365,11017
484,Spelling Films International,18189,37141
485,Regency Enterprises,508,9382
486,Alcor Films,644,9382
487,Canal+,5358,9382
488,New Regency Pictures,10104,9382
489,Hera Productions,16192,9382
490,Universal Pictures,33,6715
491,Island World,1595,6715
492,Full Moon Entertainment,4867,18256
493,The Rank Organisation,364,22625
494,Bórd Scannán na hÉireann,1898,22625
495,Lantana,4127,22625
496,Price Entertainment,23808,22625
497,Miramax Films,14,2292
498,View Askew Productions,16934,2292
499,New Line Cinema,12,1909
500,American Zoetrope,70,1909
501,Warner Bros.,6194,8984
502,Baltimore Pictures,11407,8984
503,Keystone Pictures,15709,61813
504,Dream Man Productions Inc,52095,61813
505,Paramount Pictures,4,4954
506,Savoy Pictures,11308,62488
507,Rysher Entertainment,11661,62488
508,Fine Line Features,8,10531
509,Channel Four Films,181,10531
510,Capitol Films,826,10531
511,TF1 Films Production,3823,10531
512,Canal+,5358,10531
513,Flach Film,8277,10531
514,Les Films de lAstre,68141,10531
515,Castle Rock Entertainment,97,11929
516,Columbia Pictures Corporation,441,11929
517,New Line Cinema,12,8467
518,Motion Picture Corporation of America (MPCA),11061,8467
519,Ang Lee Productions,5528,10451
520,Good Machine,10565,10451
521,Central Motion Pictures,25345,10451
522,Miramax Films,14,20156
523,Alliance Entertainment,10166,20156
524,Ego Film Arts,12800,20156
525,Savoy Pictures,11308,18395
526,Touchstone Pictures,9195,522
527,Twentieth Century Fox Film Corporation,306,397
528,PolyGram Filmed Entertainment,1382,397
529,Working Title Films,10163,397
530,Prufrock Pictures,34207,397
531,Columbia Pictures,5,10525
532,Castle Rock Entertainment,97,10525
533,Twentieth Century Fox Film Corporation,306,27985
534,Walt Disney Pictures,2,15789
535,TriStar Pictures,559,27303
536,Metro-Goldwyn-Mayer,21,21183
537,Italian International Film,1429,10954
538,Stéphan Films,2359,10954
539,MG,37581,10954
540,Miramax Films,14,72031
541,Fine Line Features,8,14275
542,Kartemquin Films,13042,14275
543,WingNut Films,11,1024
544,Miramax Films,14,1024
545,New Zealand Film Commission,294,1024
546,Fontana Productions,2306,1024
547,Caravan Pictures,175,17207
548,Hollywood Pictures,915,17207
549,Columbia Pictures,5,13701
550,Majestic Films International,2630,13701
551,Icon Entertainment International,4564,13701
552,Walt Disney Pictures,2,14819
553,Caravan Pictures,175,14819
554,Universal Pictures,33,32631
555,Bregman/Baer Productions,11393,32631
556,Paramount Pictures,4,11777
557,Geffen Pictures,360,628
558,Merchant Ivory Productions,2370,87729
559,Touchstone Pictures,9195,87729
560,Caravan Pictures,175,18713
561,Touchstone Pictures,9195,18713
562,Universal Pictures,33,6280
563,Northern Lights Entertainment,8816,6280
564,Fountainbridge Films,414,9061
565,Warner Bros.,6194,9061
566,Lee Rich Productions,36854,9061
567,Walt Disney Pictures,2,37108
568,Trimark Pictures,4063,37108
569,Twentieth Century Fox Film Corporation,306,6071
570,Lucasfilm,1,11
571,Twentieth Century Fox Film Corporation,306,11
572,Columbia Pictures,5,9587
573,Warner Bros.,6194,19101
574,Channel Four Films,181,49980
575,Parallax Pictures,983,49980
576,MK2 Productions,9209,17961
577,Aviacsa,84803,18183
578,Cinevista,84804,18183
579,Bedford Falls Productions,348,4476
580,TriStar Pictures,559,4476
581,Pangaea,1656,4476
582,Universal Pictures,33,11008
583,Fine Line Features,8,47504
584,New Line Cinema,12,47504
585,Live Entertainment,285,47504
586,Channel Four Films,181,32325
587,Cineville,2832,32325
588,Home Box Office (HBO),3268,32325
589,Showcase Entertaiment Inc.,36836,32325
590,Warner Bros.,6194,43742
591,Paramount Pictures,4,28313
592,Channel Four Films,181,11318
593,Samuel Goldwyn Company,798,11318
594,Close Call Films,23022,11318
595,American Zoetrope,70,3036
596,TriStar Pictures,559,3036
597,Walt Disney Pictures,2,40490
598,TriStar Pictures,559,24070
599,Paramount Pictures,4,8986
600,The Kennedy/Marshall Company,862,8986
601,Twentieth Century Fox Film Corporation,306,10510
602,Hollywood Pictures,915,17402
603,American Zoetrope,70,38722
604,American Playhouse,3906,38722
605,Majestic Films International,20928,38722
606,Newcomb Productions,89873,38722
607,Wolper Organization,2428,8438
608,Warner Bros.,6194,8438
609,Paramount Pictures,4,11593
610,Capella International,594,11593
611,Cinehaus,761,11593
612,Twentieth Century Fox Film Corporation,306,1945
613,Egg Pictures,802,1945
614,PolyGram Filmed Entertainment,1382,1945
615,40 Acres & A Mule Filmworks,4319,39310
616,TOEI,7260,109560
617,Distant Justice Joint Venture,42935,109560
618,Metrodome Films,11139,56428
619,Filmwerks,7954,63105
620,Imperial Entertainment,21437,63105
621,Triumph Films,23098,131957
622,Regency Enterprises,508,241
623,Alcor Films,644,241
624,Ixtlan,4198,241
625,Warner Bros.,6194,241
626,New Regency Pictures,10104,241
627,J D Productions,68551,241
628,TriStar Pictures,559,9058
629,Avalon Studios,293,527
630,New Zealand Film Commission,294,527
631,New Zealand On Air,295,527
632,New Line Cinema,12,18220
633,CineTel Pictures,17067,18220
634,MG Entertainment,17068,18220
635,Kopelson Entertainment,824,6950
636,Punch Productions,2154,6950
637,Warner Bros.,6194,6950
638,Arnold Kopelson Productions,16775,6950
639,Columbia Pictures,5,101
640,Gaumont,9,101
641,"Samuel Goldwyn Company, The",28205,63020
642,Hollywood Pictures,915,2307
643,Miramax Films,14,680
644,A Band Apart,59,680
645,Jersey Films,216,680
646,Polygram Filmed Entertainment,31080,41478
647,Gramercy Pictures (I),31715,41478
648,MVP Films,37580,41478
649,Ang Lee Productions,5528,25296
650,BBC Films,288,40156
651,PolyGram Filmed Entertainment,1382,40156
652,Miramax,53009,40156
653,Wildwood Enterprises,316,11450
654,Hollywood Pictures,915,11450
655,Baltimore Pictures,11407,11450
656,Cecile Company,84839,30304
657,Thousand Cranes Filmworks,84840,30304
658,Renn Productions,82,10452
659,Eurimages,850,10452
660,Canal+,5358,10452
661,ARD/Degeto Film GmbH,6187,10452
662,D.A. Films,6541,10452
663,France2 Cinéma,7089,10452
664,WMG Film,8923,10452
665,Centre National de la Cinématographie (CNC),18367,10452
666,N.E.F. Filmproduktion und Vertriebs GmbH,18495,10452
667,Miramax,53009,10452
668,RCS Films & TV,75913,10452
669,TriStar Pictures,559,12106
670,Hollywood Pictures,915,161495
671,Interscope Communications,10201,161495
672,Nomura Babcock & Brown,12883,161495
673,Miramax Films,14,3586
674,Zespół Filmowy TOR,38,110
675,Le Studio Canal+,183,110
676,France 3 Cinéma,591,110
677,Télévision Suisse-Romande,1245,110
678,France 3 Cinéma,591,108
679,CED Productions,1610,108
680,Le Studio Canal+,183,109
681,France 3 Cinéma,591,109
682,Eurimages,850,109
683,Allegro Films,4899,92769
684,Norstar Entertainment,16953,92769
685,west wind entertainment,24946,92769
686,Paramount Pictures,4,28033
687,Rich Animation Studios,4108,22586
688,Jones Entertainment Group,29272,14334
689,Skerry Productions,29273,14334
690,Jerry Weintraub Productions,2596,2636
691,Warner Bros.,6194,2636
692,Iguana Producciones,11134,2636
693,Centropolis Entertainment,347,2164
694,StudioCanal,694,2164
695,Carolco Entertainment,10320,2164
696,Walt Disney Pictures,2,11395
697,Hollywood Pictures,915,11395
698,Castle Rock Entertainment,97,278
699,Warner Bros.,6194,278
700,Channel Four Films,181,9905
701,Figment Films,359,9905
702,The Glasgow Film Fund,980,9905
703,PolyGram Filmed Entertainment,1382,9905
704,Kino Korsakoff,78701,87078
705,Miramax Films,14,12527
706,Tabasco films,6647,12527
707,Instituto Mexicano de Cinematografía (IMCINE),8861,12527
708,TeleMadrid,10015,12527
709,Cineville,2832,20306
710,Trimark Pictures,4063,20306
711,Samuel Goldwyn Company,798,36614
712,New Line Cinema,12,27993
713,1992 Number Four Limited Partnership,4733,27993
714,MHA,4734,27993
715,Shanghai Film Studios,1078,31439
716,Era International Ltd,25299,31439
717,Trilogy Entertainment Group,2231,9067
718,Universal Pictures,33,9059
719,Tales From The Crypt Holdings,69626,9059
720,Paramount Pictures,4,193
721,40 Acres & A Mule Filmworks,4319,25066
722,Savoy Pictures,11308,25066
723,Universal Pictures,33,12122
724,Paramount Pictures,4,11381
725,Sony Pictures Classics,58,32636
726,Populist Pictures,14729,36141
727,Savoy Pictures,11308,95963
728,Price Entertainment,23808,95963
729,"Jackson/McHenry Company,The",37350,95963
730,Paramount Pictures,4,1587
731,Paramount Pictures,4,9271
732,Caravan Pictures,175,2064
733,Hollywood Pictures,915,2064
734,Universal Pictures,33,19855
735,Fine Line Features,8,60855
736,Téléfilm Canada,806,60855
737,First Generation Films,4908,60855
738,National Film Board of Canada (NFB),17027,60855
739,British Columbia Film Commission,36024,60855
740,Ciby 2000,105,236
741,Film Victoria,11840,236
742,House & Moorhouse Films,39250,236
743,Columbia Pictures Corporation,441,48287
744,Beacon Pictures,10157,48287
745,Warner Bros.,6194,3049
746,Morgan Creek Productions,10210,3049
747,PolyGram Filmed Entertainment,1382,2759
748,Gramercy Pictures,37,12635
749,Fine Line Features,8,10497
750,R.P. Productions,355,10497
751,Columbia Pictures Corporation,441,10497
752,Les Films Alain Sarde,635,10497
753,Canal+,5358,10497
754,Timothy Burrill Productions,8131,10497
755,Miramax Films,14,11382
756,Paramount Pictures,4,9331
757,Mace Neufeld Productions,2767,9331
758,Regency Enterprises,508,10731
759,Alcor Films,644,10731
760,Warner Bros.,6194,10731
761,New Line Cinema,12,10464
762,Universal Pictures,33,34152
763,40 Acres & A Mule Filmworks,4319,34152
764,Miramax Films,14,9495
765,Crowvision Inc.,4028,9495
766,Entertainment Media Investment Corporation,4029,9495
767,Jeff Most Productions,4030,9495
768,Edward R. Pressman Film,6455,9495
769,Regency Enterprises,508,29973
770,Alcor Films,644,29973
771,Warner Bros.,6194,29973
772,Aleor Films,16823,29973
773,Universal Pictures,33,888
774,Amblin Entertainment,56,888
775,Hanna-Barbera Productions,1353,888
776,Paramount Pictures,4,13
777,Channel Four Films,181,712
778,PolyGram Filmed Entertainment,1382,712
779,Working Title Films,10163,712
780,Columbia Pictures Corporation,441,16295
781,New Deal Productions,1947,16295
782,Columbia Pictures Corporation,441,48992
783,Think Again Productions,37294,48992
784,Riot of Color,37295,48992
785,Caravan Pictures,175,10879
786,Touchstone Pictures,9195,10879
787,TriStar Pictures,559,10660
788,Channel Four Films,181,41647
789,Arte,201,41647
790,Zweites Deutsches Fernsehen (ZDF),4606,41647
791,Nomad Films,12914,41647
792,Omega Film GmbH,12915,41647
793,Without Walls,12916,41647
794,Walt Disney Pictures,2,8587
795,Walt Disney Feature Animation,10217,8587
796,Miramax Films,14,1689
797,New Line Cinema,12,11596
798,New Line Cinema,12,854
799,Dark Horse Entertainment,552,854
800,Icon Entertainment International,4564,9359
801,Warner Bros.,6194,9359
802,Fine Line Features,8,23333
803,Miramax Films,14,23333
804,Paramount Pictures,4,36593
805,Imagine Entertainment,23,12280
806,Universal Pictures,33,12280
807,Universal Pictures,33,2788
808,Jersey Films,216,2788
809,Propaganda Films,278,10427
810,PolyGram Filmed Entertainment,1382,10427
811,Davis Entertainment,1302,11011
812,Silver Pictures,1885,11011
813,Warner Bros.,6194,11011
814,New Line Cinema,12,49803
